,Lat,Long,Year,Month,Date,Hour,Min,Sec,Rain Rate
0,27.29028,-80.25361,2017.0,1.0,2.0,16.0,17.0,0.0,5.08
1,27.29028,-80.25361,2017.0,1.0,2.0,16.0,18.0,0.0,5.08
2,27.29028,-80.25361,2017.0,1.0,2.0,16.0,19.0,0.0,5.08
3,27.29028,-80.25361,2017.0,1.0,2.0,16.0,20.0,0.0,5.08
4,27.29028,-80.25361,2017.0,1.0,2.0,16.0,21.0,0.0,5.08
5,27.29028,-80.25361,2017.0,1.0,2.0,16.0,22.0,0.0,5.08
6,27.29028,-80.25361,2017.0,1.0,2.0,17.0,6.0,0.0,7.62
7,27.29028,-80.25361,2017.0,1.0,2.0,17.0,7.0,0.0,7.62
8,27.29028,-80.25361,2017.0,1.0,2.0,17.0,8.0,0.0,7.62
9,27.29028,-80.25361,2017.0,1.0,2.0,17.0,9.0,0.0,7.62
10,27.29028,-80.25361,2017.0,1.0,4.0,20.0,43.0,0.0,10.14
11,27.29028,-80.25361,2017.0,1.0,4.0,20.0,44.0,0.0,10.14
12,27.29028,-80.25361,2017.0,1.0,4.0,20.0,45.0,0.0,20.22
13,27.29028,-80.25361,2017.0,1.0,4.0,20.0,46.0,0.0,30.37
14,27.29028,-80.25361,2017.0,1.0,4.0,20.0,47.0,0.0,15.18
15,27.29028,-80.25361,2017.0,1.0,4.0,20.0,48.0,0.0,15.18
16,27.29028,-80.25361,2017.0,1.0,4.0,20.0,49.0,0.0,15.18
17,27.29028,-80.25361,2017.0,1.0,4.0,20.0,50.0,0.0,15.18
18,27.29028,-80.25361,2017.0,1.0,4.0,20.0,51.0,0.0,9.58
19,27.29028,-80.25361,2017.0,1.0,4.0,20.0,52.0,0.0,5.6
20,27.29028,-80.25361,2017.0,1.0,4.0,20.0,53.0,0.0,5.67
21,27.29028,-80.25361,2017.0,1.0,4.0,20.0,54.0,0.0,9.51
22,27.29028,-80.25361,2017.0,1.0,4.0,20.0,55.0,0.0,15.18
23,27.29028,-80.25361,2017.0,1.0,4.0,20.0,56.0,0.0,15.18
24,27.29028,-80.25361,2017.0,1.0,4.0,20.0,57.0,0.0,9.16
25,27.29028,-80.25361,2017.0,1.0,4.0,20.0,58.0,0.0,4.14
26,27.29028,-80.25361,2017.0,1.0,4.0,20.0,59.0,0.0,1.89
27,27.29028,-80.25361,2017.0,1.0,4.0,21.0,0.0,0.0,1.93
28,27.29028,-80.25361,2017.0,1.0,4.0,21.0,1.0,0.0,2.33
29,27.29028,-80.25361,2017.0,1.0,4.0,21.0,2.0,0.0,2.61
30,27.29028,-80.25361,2017.0,1.0,4.0,21.0,3.0,0.0,2.77
31,27.29028,-80.25361,2017.0,1.0,4.0,21.0,4.0,0.0,2.81
32,27.29028,-80.25361,2017.0,1.0,4.0,21.0,5.0,0.0,2.73
33,27.29028,-80.25361,2017.0,1.0,4.0,21.0,6.0,0.0,2.55
34,27.29028,-80.25361,2017.0,1.0,4.0,21.0,7.0,0.0,2.37
35,27.29028,-80.25361,2017.0,1.0,4.0,21.0,8.0,0.0,2.23
36,27.29028,-80.25361,2017.0,1.0,4.0,21.0,9.0,0.0,2.11
37,27.29028,-80.25361,2017.0,1.0,4.0,21.0,10.0,0.0,2.02
38,27.29028,-80.25361,2017.0,1.0,4.0,21.0,11.0,0.0,1.96
