,Lat,Long,Year,Month,Date,Hour,Min,Sec,Rain Rate
0,27.25389,-80.78722,2017.0,1.0,4.0,19.0,46.0,0.0,32.35
1,27.25389,-80.78722,2017.0,1.0,4.0,19.0,47.0,0.0,32.35
2,27.25389,-80.78722,2017.0,1.0,4.0,19.0,49.0,0.0,17.36
3,27.25389,-80.78722,2017.0,1.0,4.0,19.0,50.0,0.0,64.71
4,27.25389,-80.78722,2017.0,1.0,4.0,19.0,51.0,0.0,16.18
5,27.25389,-80.78722,2017.0,1.0,4.0,19.0,52.0,0.0,16.18
6,27.25389,-80.78722,2017.0,1.0,4.0,19.0,53.0,0.0,16.18
7,27.25389,-80.78722,2017.0,1.0,4.0,19.0,54.0,0.0,16.18
8,27.25389,-80.78722,2017.0,1.0,4.0,19.0,55.0,0.0,16.18
9,27.25389,-80.78722,2017.0,1.0,4.0,19.0,56.0,0.0,16.18
10,27.25389,-80.78722,2017.0,1.0,5.0,18.0,13.0,0.0,-3.05
11,27.25389,-80.78722,2017.0,1.0,5.0,18.0,14.0,0.0,-3.05
12,27.25389,-80.78722,2017.0,1.0,5.0,18.0,15.0,0.0,-3.05
13,27.25389,-80.78722,2017.0,1.0,5.0,18.0,16.0,0.0,-3.05
14,27.25389,-80.78722,2017.0,1.0,5.0,18.0,17.0,0.0,-3.05
15,27.25389,-80.78722,2017.0,1.0,7.0,17.0,43.0,0.0,-3.05
16,27.25389,-80.78722,2017.0,1.0,7.0,17.0,44.0,0.0,-3.05
17,27.25389,-80.78722,2017.0,1.0,7.0,17.0,45.0,0.0,-3.05
18,27.25389,-80.78722,2017.0,1.0,7.0,17.0,46.0,0.0,-3.05
19,27.25389,-80.78722,2017.0,1.0,7.0,17.0,47.0,0.0,-3.05
20,27.25389,-80.78722,2017.0,1.0,7.0,18.0,24.0,0.0,-3.05
21,27.25389,-80.78722,2017.0,1.0,7.0,18.0,25.0,0.0,-3.05
22,27.25389,-80.78722,2017.0,1.0,7.0,18.0,26.0,0.0,-3.05
23,27.25389,-80.78722,2017.0,1.0,7.0,18.0,27.0,0.0,-3.05
24,27.25389,-80.78722,2017.0,1.0,7.0,18.0,28.0,0.0,-3.05
25,27.25389,-80.78722,2017.0,1.0,7.0,19.0,19.0,0.0,-3.05
26,27.25389,-80.78722,2017.0,1.0,7.0,19.0,20.0,0.0,-3.05
27,27.25389,-80.78722,2017.0,1.0,7.0,19.0,21.0,0.0,-3.05
28,27.25389,-80.78722,2017.0,1.0,7.0,19.0,22.0,0.0,-3.05
29,27.25389,-80.78722,2017.0,1.0,7.0,19.0,23.0,0.0,-3.05
30,27.25389,-80.78722,2017.0,1.0,7.0,19.0,55.0,0.0,6.25
31,27.25389,-80.78722,2017.0,1.0,7.0,19.0,56.0,0.0,9.88
32,27.25389,-80.78722,2017.0,1.0,7.0,19.0,57.0,0.0,12.94
33,27.25389,-80.78722,2017.0,1.0,7.0,19.0,58.0,0.0,15.39
34,27.25389,-80.78722,2017.0,1.0,7.0,19.0,59.0,0.0,13.68
35,27.25389,-80.78722,2017.0,1.0,7.0,20.0,0.0,0.0,8.19
36,27.25389,-80.78722,2017.0,1.0,7.0,20.0,1.0,0.0,3.99
37,27.25389,-80.78722,2017.0,1.0,7.0,20.0,2.0,0.0,2.36
38,27.25389,-80.78722,2017.0,1.0,7.0,20.0,3.0,0.0,2.82
39,27.25389,-80.78722,2017.0,1.0,7.0,20.0,4.0,0.0,3.52
40,27.25389,-80.78722,2017.0,1.0,7.0,20.0,5.0,0.0,3.98
41,27.25389,-80.78722,2017.0,1.0,7.0,20.0,6.0,0.0,4.22
42,27.25389,-80.78722,2017.0,1.0,7.0,20.0,7.0,0.0,4.22
43,27.25389,-80.78722,2017.0,1.0,11.0,17.0,33.0,0.0,-3.05
44,27.25389,-80.78722,2017.0,1.0,11.0,17.0,34.0,0.0,-3.05
45,27.25389,-80.78722,2017.0,1.0,11.0,17.0,35.0,0.0,-3.05
46,27.25389,-80.78722,2017.0,1.0,11.0,17.0,36.0,0.0,-3.05
47,27.25389,-80.78722,2017.0,1.0,11.0,17.0,37.0,0.0,-3.05
48,27.25389,-80.78722,2017.0,1.0,14.0,16.0,36.0,0.0,-3.05
49,27.25389,-80.78722,2017.0,1.0,14.0,16.0,37.0,0.0,-3.05
50,27.25389,-80.78722,2017.0,1.0,14.0,16.0,38.0,0.0,-3.05
51,27.25389,-80.78722,2017.0,1.0,14.0,16.0,39.0,0.0,-3.05
52,27.25389,-80.78722,2017.0,1.0,14.0,16.0,40.0,0.0,-3.05
53,27.25389,-80.78722,2017.0,1.0,23.0,5.0,3.0,0.0,15.13
54,27.25389,-80.78722,2017.0,1.0,23.0,5.0,4.0,0.0,30.26
55,27.25389,-80.78722,2017.0,1.0,23.0,5.0,5.0,0.0,30.26
56,27.25389,-80.78722,2017.0,1.0,23.0,5.0,6.0,0.0,30.26
57,27.25389,-80.78722,2017.0,1.0,23.0,5.0,7.0,0.0,60.52
58,27.25389,-80.78722,2017.0,1.0,23.0,5.0,8.0,0.0,60.52
59,27.25389,-80.78722,2017.0,1.0,23.0,5.0,9.0,0.0,151.3
60,27.25389,-80.78722,2017.0,1.0,23.0,5.0,10.0,0.0,136.17
61,27.25389,-80.78722,2017.0,1.0,23.0,5.0,11.0,0.0,121.04
62,27.25389,-80.78722,2017.0,1.0,23.0,5.0,12.0,0.0,60.52
63,27.25389,-80.78722,2017.0,1.0,23.0,5.0,13.0,0.0,15.13
64,27.25389,-80.78722,2017.0,1.0,23.0,5.0,14.0,0.0,15.13
65,27.25389,-80.78722,2017.0,1.0,23.0,5.0,15.0,0.0,7.64
66,27.25389,-80.78722,2017.0,1.0,23.0,5.0,16.0,0.0,7.49
67,27.25389,-80.78722,2017.0,1.0,23.0,5.0,17.0,0.0,15.13
68,27.25389,-80.78722,2017.0,1.0,23.0,5.0,18.0,0.0,7.97
69,27.25389,-80.78722,2017.0,1.0,23.0,5.0,19.0,0.0,7.16
70,27.25389,-80.78722,2017.0,1.0,23.0,5.0,20.0,0.0,15.13
71,27.25389,-80.78722,2017.0,1.0,23.0,5.0,21.0,0.0,15.13
72,27.25389,-80.78722,2017.0,1.0,23.0,5.0,22.0,0.0,10.75
73,27.25389,-80.78722,2017.0,1.0,23.0,5.0,23.0,0.0,4.38
74,27.25389,-80.78722,2017.0,1.0,23.0,5.0,25.0,0.0,1.28
75,27.25389,-80.78722,2017.0,1.0,23.0,5.0,26.0,0.0,15.56
76,27.25389,-80.78722,2017.0,1.0,23.0,5.0,27.0,0.0,30.26
77,27.25389,-80.78722,2017.0,1.0,23.0,5.0,28.0,0.0,15.13
78,27.25389,-80.78722,2017.0,1.0,23.0,5.0,29.0,0.0,8.08
79,27.25389,-80.78722,2017.0,1.0,23.0,5.0,30.0,0.0,7.05
80,27.25389,-80.78722,2017.0,1.0,23.0,5.0,31.0,0.0,7.65
81,27.25389,-80.78722,2017.0,1.0,23.0,5.0,32.0,0.0,7.48
82,27.25389,-80.78722,2017.0,1.0,23.0,5.0,33.0,0.0,6.18
83,27.25389,-80.78722,2017.0,1.0,23.0,5.0,34.0,0.0,4.62
84,27.25389,-80.78722,2017.0,1.0,23.0,5.0,35.0,0.0,3.0
