,Lat,Long,Year,Month,Date,Hour,Min,Sec,Rain Rate
0,28.15556,-81.115,2017.0,1.0,7.0,4.0,32.0,0.0,-3.05
1,28.15556,-81.115,2017.0,1.0,7.0,4.0,33.0,0.0,-3.05
2,28.15556,-81.115,2017.0,1.0,7.0,4.0,34.0,0.0,-3.05
3,28.15556,-81.115,2017.0,1.0,7.0,4.0,35.0,0.0,-3.05
4,28.15556,-81.115,2017.0,1.0,7.0,4.0,36.0,0.0,-3.05
5,28.15556,-81.115,2017.0,1.0,7.0,10.0,51.0,0.0,-3.05
6,28.15556,-81.115,2017.0,1.0,7.0,10.0,52.0,0.0,-3.05
7,28.15556,-81.115,2017.0,1.0,7.0,10.0,53.0,0.0,-3.05
8,28.15556,-81.115,2017.0,1.0,7.0,10.0,54.0,0.0,-3.05
9,28.15556,-81.115,2017.0,1.0,7.0,10.0,55.0,0.0,-3.05
10,28.15556,-81.115,2017.0,1.0,7.0,14.0,31.0,0.0,2.32
11,28.15556,-81.115,2017.0,1.0,7.0,14.0,32.0,0.0,2.0
12,28.15556,-81.115,2017.0,1.0,7.0,14.0,33.0,0.0,1.76
13,28.15556,-81.115,2017.0,1.0,7.0,14.0,34.0,0.0,1.6
14,28.15556,-81.115,2017.0,1.0,7.0,14.0,35.0,0.0,1.52
15,28.15556,-81.115,2017.0,1.0,7.0,14.0,36.0,0.0,1.52
16,28.15556,-81.115,2017.0,1.0,7.0,14.0,37.0,0.0,1.6
17,28.15556,-81.115,2017.0,1.0,7.0,14.0,38.0,0.0,1.76
18,28.15556,-81.115,2017.0,1.0,7.0,14.0,39.0,0.0,2.0
19,28.15556,-81.115,2017.0,1.0,7.0,14.0,40.0,0.0,2.32
20,28.15556,-81.115,2017.0,1.0,7.0,14.0,41.0,0.0,2.73
21,28.15556,-81.115,2017.0,1.0,7.0,14.0,42.0,0.0,3.21
22,28.15556,-81.115,2017.0,1.0,7.0,14.0,43.0,0.0,3.71
