,Lat,Long,Year,Month,Date,Hour,Min,Sec,Rain Rate
0,27.26167,-80.35889,2017.0,1.0,4.0,20.0,30.0,0.0,15.12
1,27.26167,-80.35889,2017.0,1.0,4.0,20.0,31.0,0.0,22.11
2,27.26167,-80.35889,2017.0,1.0,4.0,20.0,32.0,0.0,23.26
3,27.26167,-80.35889,2017.0,1.0,4.0,20.0,33.0,0.0,24.42
4,27.26167,-80.35889,2017.0,1.0,4.0,20.0,34.0,0.0,20.96
5,27.26167,-80.35889,2017.0,1.0,4.0,20.0,35.0,0.0,14.46
6,27.26167,-80.35889,2017.0,1.0,4.0,20.0,36.0,0.0,15.79
7,27.26167,-80.35889,2017.0,1.0,4.0,20.0,37.0,0.0,23.62
8,27.26167,-80.35889,2017.0,1.0,4.0,20.0,38.0,0.0,21.75
9,27.26167,-80.35889,2017.0,1.0,4.0,20.0,39.0,0.0,10.15
10,27.26167,-80.35889,2017.0,1.0,4.0,20.0,40.0,0.0,4.97
11,27.26167,-80.35889,2017.0,1.0,4.0,20.0,41.0,0.0,9.5
12,27.26167,-80.35889,2017.0,1.0,4.0,20.0,42.0,0.0,20.75
13,27.26167,-80.35889,2017.0,1.0,4.0,20.0,43.0,0.0,35.05
14,27.26167,-80.35889,2017.0,1.0,4.0,20.0,44.0,0.0,40.58
15,27.26167,-80.35889,2017.0,1.0,4.0,20.0,45.0,0.0,35.59
16,27.26167,-80.35889,2017.0,1.0,4.0,20.0,46.0,0.0,24.9
17,27.26167,-80.35889,2017.0,1.0,4.0,20.0,47.0,0.0,11.63
18,27.26167,-80.35889,2017.0,1.0,4.0,20.0,48.0,0.0,3.49
19,27.26167,-80.35889,2017.0,1.0,4.0,20.0,49.0,0.0,1.35
20,27.26167,-80.35889,2017.0,1.0,4.0,20.0,50.0,0.0,0.93
21,27.26167,-80.35889,2017.0,1.0,4.0,20.0,51.0,0.0,1.18
22,27.26167,-80.35889,2017.0,1.0,4.0,20.0,52.0,0.0,2.09
23,27.26167,-80.35889,2017.0,1.0,4.0,20.0,53.0,0.0,3.67
24,27.26167,-80.35889,2017.0,1.0,4.0,20.0,54.0,0.0,5.9
25,27.26167,-80.35889,2017.0,1.0,4.0,20.0,55.0,0.0,8.04
26,27.26167,-80.35889,2017.0,1.0,4.0,20.0,56.0,0.0,7.08
27,27.26167,-80.35889,2017.0,1.0,4.0,20.0,57.0,0.0,4.67
28,27.26167,-80.35889,2017.0,1.0,4.0,20.0,58.0,0.0,10.46
29,27.26167,-80.35889,2017.0,1.0,4.0,20.0,59.0,0.0,22.45
30,27.26167,-80.35889,2017.0,1.0,4.0,21.0,0.0,0.0,22.93
31,27.26167,-80.35889,2017.0,1.0,4.0,21.0,1.0,0.0,11.42
32,27.26167,-80.35889,2017.0,1.0,4.0,21.0,2.0,0.0,3.7
33,27.26167,-80.35889,2017.0,1.0,4.0,21.0,3.0,0.0,3.7
34,27.26167,-80.35889,2017.0,1.0,7.0,20.0,9.0,0.0,-3.05
35,27.26167,-80.35889,2017.0,1.0,7.0,20.0,10.0,0.0,-3.05
36,27.26167,-80.35889,2017.0,1.0,7.0,20.0,11.0,0.0,-3.05
37,27.26167,-80.35889,2017.0,1.0,7.0,20.0,12.0,0.0,-3.05
38,27.26167,-80.35889,2017.0,1.0,7.0,20.0,13.0,0.0,-3.05
39,27.26167,-80.35889,2017.0,1.0,7.0,20.0,26.0,0.0,-3.05
40,27.26167,-80.35889,2017.0,1.0,7.0,20.0,27.0,0.0,-3.05
41,27.26167,-80.35889,2017.0,1.0,7.0,20.0,28.0,0.0,-3.05
42,27.26167,-80.35889,2017.0,1.0,7.0,20.0,29.0,0.0,-3.05
43,27.26167,-80.35889,2017.0,1.0,7.0,20.0,30.0,0.0,-3.05
44,27.26167,-80.35889,2017.0,1.0,10.0,11.0,24.0,0.0,-3.05
45,27.26167,-80.35889,2017.0,1.0,10.0,11.0,25.0,0.0,-3.05
46,27.26167,-80.35889,2017.0,1.0,10.0,11.0,26.0,0.0,-3.05
47,27.26167,-80.35889,2017.0,1.0,10.0,11.0,27.0,0.0,-3.05
48,27.26167,-80.35889,2017.0,1.0,10.0,11.0,28.0,0.0,-3.05
49,27.26167,-80.35889,2017.0,1.0,10.0,13.0,11.0,0.0,7.62
50,27.26167,-80.35889,2017.0,1.0,10.0,13.0,12.0,0.0,7.62
51,27.26167,-80.35889,2017.0,1.0,10.0,13.0,13.0,0.0,7.62
52,27.26167,-80.35889,2017.0,1.0,10.0,13.0,14.0,0.0,7.62
53,27.26167,-80.35889,2017.0,1.0,10.0,13.0,15.0,0.0,7.62
54,27.26167,-80.35889,2017.0,1.0,10.0,13.0,16.0,0.0,7.62
55,27.26167,-80.35889,2017.0,1.0,10.0,15.0,33.0,0.0,12.42
56,27.26167,-80.35889,2017.0,1.0,10.0,15.0,34.0,0.0,13.12
57,27.26167,-80.35889,2017.0,1.0,10.0,15.0,35.0,0.0,11.73
58,27.26167,-80.35889,2017.0,1.0,10.0,15.0,36.0,0.0,9.21
59,27.26167,-80.35889,2017.0,1.0,10.0,15.0,37.0,0.0,6.69
60,27.26167,-80.35889,2017.0,1.0,10.0,15.0,38.0,0.0,4.46
61,27.26167,-80.35889,2017.0,1.0,10.0,15.0,39.0,0.0,2.5
62,27.26167,-80.35889,2017.0,1.0,10.0,15.0,40.0,0.0,0.82
63,27.26167,-80.35889,2017.0,1.0,10.0,16.0,45.0,0.0,-3.05
64,27.26167,-80.35889,2017.0,1.0,10.0,16.0,46.0,0.0,-3.05
65,27.26167,-80.35889,2017.0,1.0,10.0,16.0,47.0,0.0,-3.05
66,27.26167,-80.35889,2017.0,1.0,10.0,16.0,48.0,0.0,-3.05
67,27.26167,-80.35889,2017.0,1.0,10.0,16.0,49.0,0.0,-3.05
68,27.26167,-80.35889,2017.0,1.0,23.0,5.0,27.0,0.0,9.34
69,27.26167,-80.35889,2017.0,1.0,23.0,5.0,28.0,0.0,9.34
70,27.26167,-80.35889,2017.0,1.0,23.0,5.0,29.0,0.0,5.8
71,27.26167,-80.35889,2017.0,1.0,23.0,5.0,30.0,0.0,0.74
72,27.26167,-80.35889,2017.0,1.0,23.0,5.0,31.0,0.0,2.2
73,27.26167,-80.35889,2017.0,1.0,23.0,5.0,32.0,0.0,12.19
74,27.26167,-80.35889,2017.0,1.0,23.0,5.0,33.0,0.0,27.21
75,27.26167,-80.35889,2017.0,1.0,23.0,5.0,34.0,0.0,33.33
76,27.26167,-80.35889,2017.0,1.0,23.0,5.0,35.0,0.0,33.98
77,27.26167,-80.35889,2017.0,1.0,23.0,5.0,36.0,0.0,56.84
78,27.26167,-80.35889,2017.0,1.0,23.0,5.0,37.0,0.0,94.18
79,27.26167,-80.35889,2017.0,1.0,23.0,5.0,38.0,0.0,87.46
80,27.26167,-80.35889,2017.0,1.0,23.0,5.0,39.0,0.0,37.72
81,27.26167,-80.35889,2017.0,1.0,23.0,5.0,40.0,0.0,7.7
82,27.26167,-80.35889,2017.0,1.0,23.0,5.0,41.0,0.0,6.61
83,27.26167,-80.35889,2017.0,1.0,23.0,5.0,42.0,0.0,8.53
84,27.26167,-80.35889,2017.0,1.0,23.0,5.0,43.0,0.0,7.51
85,27.26167,-80.35889,2017.0,1.0,23.0,5.0,44.0,0.0,5.61
86,27.26167,-80.35889,2017.0,1.0,23.0,5.0,45.0,0.0,3.38
87,27.26167,-80.35889,2017.0,1.0,23.0,5.0,46.0,0.0,0.79
88,27.26167,-80.35889,2017.0,1.0,23.0,5.0,52.0,0.0,3.14
89,27.26167,-80.35889,2017.0,1.0,23.0,5.0,53.0,0.0,10.5
90,27.26167,-80.35889,2017.0,1.0,23.0,5.0,54.0,0.0,19.99
91,27.26167,-80.35889,2017.0,1.0,23.0,5.0,55.0,0.0,31.45
92,27.26167,-80.35889,2017.0,1.0,23.0,5.0,56.0,0.0,44.24
93,27.26167,-80.35889,2017.0,1.0,23.0,5.0,57.0,0.0,56.9
94,27.26167,-80.35889,2017.0,1.0,23.0,5.0,58.0,0.0,64.19
95,27.26167,-80.35889,2017.0,1.0,23.0,5.0,59.0,0.0,68.28
96,27.26167,-80.35889,2017.0,1.0,23.0,6.0,0.0,0.0,83.09
97,27.26167,-80.35889,2017.0,1.0,23.0,6.0,1.0,0.0,103.26
98,27.26167,-80.35889,2017.0,1.0,23.0,6.0,2.0,0.0,93.53
99,27.26167,-80.35889,2017.0,1.0,23.0,6.0,3.0,0.0,57.95
100,27.26167,-80.35889,2017.0,1.0,23.0,6.0,4.0,0.0,48.01
101,27.26167,-80.35889,2017.0,1.0,23.0,6.0,5.0,0.0,66.08
102,27.26167,-80.35889,2017.0,1.0,23.0,6.0,6.0,0.0,70.15
103,27.26167,-80.35889,2017.0,1.0,23.0,6.0,7.0,0.0,58.04
104,27.26167,-80.35889,2017.0,1.0,23.0,6.0,8.0,0.0,63.06
105,27.26167,-80.35889,2017.0,1.0,23.0,6.0,9.0,0.0,83.97
106,27.26167,-80.35889,2017.0,1.0,23.0,6.0,10.0,0.0,82.54
107,27.26167,-80.35889,2017.0,1.0,23.0,6.0,11.0,0.0,60.2
108,27.26167,-80.35889,2017.0,1.0,23.0,6.0,12.0,0.0,60.9
109,27.26167,-80.35889,2017.0,1.0,23.0,6.0,13.0,0.0,83.95
110,27.26167,-80.35889,2017.0,1.0,23.0,6.0,14.0,0.0,82.56
111,27.26167,-80.35889,2017.0,1.0,23.0,6.0,15.0,0.0,54.34
112,27.26167,-80.35889,2017.0,1.0,23.0,6.0,16.0,0.0,36.48
113,27.26167,-80.35889,2017.0,1.0,23.0,6.0,17.0,0.0,33.59
114,27.26167,-80.35889,2017.0,1.0,23.0,6.0,18.0,0.0,26.96
115,27.26167,-80.35889,2017.0,1.0,23.0,6.0,19.0,0.0,30.27
116,27.26167,-80.35889,2017.0,1.0,23.0,6.0,20.0,0.0,75.69
117,27.26167,-80.35889,2017.0,1.0,23.0,6.0,21.0,0.0,45.64
118,27.26167,-80.35889,2017.0,1.0,23.0,6.0,22.0,0.0,14.91
119,27.26167,-80.35889,2017.0,1.0,23.0,6.0,23.0,0.0,8.02
120,27.26167,-80.35889,2017.0,1.0,23.0,6.0,24.0,0.0,7.11
