,Lat,Long,Year,Month,Date,Hour,Min,Sec,Rain Rate
0,27.31389,-80.94694,2017.0,1.0,4.0,19.0,18.0,0.0,11.43
1,27.31389,-80.94694,2017.0,1.0,4.0,19.0,19.0,0.0,11.43
2,27.31389,-80.94694,2017.0,1.0,4.0,19.0,20.0,0.0,11.43
3,27.31389,-80.94694,2017.0,1.0,4.0,19.0,21.0,0.0,11.43
4,27.31389,-80.94694,2017.0,1.0,7.0,16.0,40.0,0.0,1.69
5,27.31389,-80.94694,2017.0,1.0,7.0,16.0,41.0,0.0,1.69
6,27.31389,-80.94694,2017.0,1.0,7.0,16.0,42.0,0.0,1.69
7,27.31389,-80.94694,2017.0,1.0,7.0,16.0,43.0,0.0,1.69
8,27.31389,-80.94694,2017.0,1.0,7.0,16.0,44.0,0.0,1.69
9,27.31389,-80.94694,2017.0,1.0,7.0,16.0,45.0,0.0,1.69
10,27.31389,-80.94694,2017.0,1.0,7.0,16.0,46.0,0.0,1.69
11,27.31389,-80.94694,2017.0,1.0,7.0,16.0,47.0,0.0,1.69
12,27.31389,-80.94694,2017.0,1.0,7.0,16.0,48.0,0.0,1.69
13,27.31389,-80.94694,2017.0,1.0,7.0,16.0,49.0,0.0,1.69
14,27.31389,-80.94694,2017.0,1.0,7.0,16.0,50.0,0.0,1.69
15,27.31389,-80.94694,2017.0,1.0,7.0,16.0,51.0,0.0,1.69
16,27.31389,-80.94694,2017.0,1.0,7.0,16.0,52.0,0.0,1.69
17,27.31389,-80.94694,2017.0,1.0,7.0,16.0,53.0,0.0,1.69
18,27.31389,-80.94694,2017.0,1.0,7.0,16.0,54.0,0.0,1.69
19,27.31389,-80.94694,2017.0,1.0,7.0,16.0,55.0,0.0,1.69
20,27.31389,-80.94694,2017.0,1.0,7.0,16.0,56.0,0.0,1.69
21,27.31389,-80.94694,2017.0,1.0,7.0,16.0,57.0,0.0,1.69
22,27.31389,-80.94694,2017.0,1.0,8.0,11.0,59.0,0.0,-3.05
23,27.31389,-80.94694,2017.0,1.0,8.0,12.0,0.0,0.0,-3.05
24,27.31389,-80.94694,2017.0,1.0,8.0,12.0,1.0,0.0,-3.05
25,27.31389,-80.94694,2017.0,1.0,8.0,12.0,2.0,0.0,-3.05
26,27.31389,-80.94694,2017.0,1.0,8.0,12.0,3.0,0.0,-3.05
27,27.31389,-80.94694,2017.0,1.0,10.0,12.0,41.0,0.0,-3.05
28,27.31389,-80.94694,2017.0,1.0,10.0,12.0,42.0,0.0,-3.05
29,27.31389,-80.94694,2017.0,1.0,10.0,12.0,43.0,0.0,-3.05
30,27.31389,-80.94694,2017.0,1.0,10.0,12.0,44.0,0.0,-3.05
31,27.31389,-80.94694,2017.0,1.0,10.0,12.0,45.0,0.0,-3.05
32,27.31389,-80.94694,2017.0,1.0,23.0,12.0,34.0,0.0,-3.05
33,27.31389,-80.94694,2017.0,1.0,23.0,12.0,35.0,0.0,-3.05
34,27.31389,-80.94694,2017.0,1.0,23.0,12.0,36.0,0.0,-3.05
35,27.31389,-80.94694,2017.0,1.0,23.0,12.0,37.0,0.0,-3.05
36,27.31389,-80.94694,2017.0,1.0,23.0,12.0,38.0,0.0,-3.05
37,27.31389,-80.94694,2017.0,1.0,23.0,13.0,3.0,0.0,-3.05
38,27.31389,-80.94694,2017.0,1.0,23.0,13.0,4.0,0.0,-3.05
39,27.31389,-80.94694,2017.0,1.0,23.0,13.0,5.0,0.0,-3.05
40,27.31389,-80.94694,2017.0,1.0,23.0,13.0,6.0,0.0,-3.05
41,27.31389,-80.94694,2017.0,1.0,23.0,13.0,7.0,0.0,-3.05
42,27.31389,-80.94694,2017.0,1.0,29.0,9.0,7.0,0.0,-3.05
43,27.31389,-80.94694,2017.0,1.0,29.0,9.0,8.0,0.0,-3.05
44,27.31389,-80.94694,2017.0,1.0,29.0,9.0,9.0,0.0,-3.05
45,27.31389,-80.94694,2017.0,1.0,29.0,9.0,10.0,0.0,-3.05
46,27.31389,-80.94694,2017.0,1.0,29.0,9.0,11.0,0.0,-3.05
47,27.31389,-80.94694,2017.0,1.0,29.0,10.0,2.0,0.0,5.08
48,27.31389,-80.94694,2017.0,1.0,29.0,10.0,3.0,0.0,5.3
49,27.31389,-80.94694,2017.0,1.0,29.0,10.0,4.0,0.0,5.3
50,27.31389,-80.94694,2017.0,1.0,29.0,10.0,5.0,0.0,5.08
51,27.31389,-80.94694,2017.0,1.0,29.0,10.0,6.0,0.0,4.63
52,27.31389,-80.94694,2017.0,1.0,29.0,10.0,7.0,0.0,4.02
53,27.31389,-80.94694,2017.0,1.0,29.0,10.0,8.0,0.0,3.43
54,27.31389,-80.94694,2017.0,1.0,29.0,10.0,9.0,0.0,2.92
55,27.31389,-80.94694,2017.0,1.0,29.0,10.0,10.0,0.0,2.5
56,27.31389,-80.94694,2017.0,1.0,29.0,10.0,11.0,0.0,2.15
57,27.31389,-80.94694,2017.0,1.0,29.0,10.0,12.0,0.0,1.88
58,27.31389,-80.94694,2017.0,1.0,29.0,10.0,13.0,0.0,1.65
59,27.31389,-80.94694,2017.0,1.0,29.0,10.0,14.0,0.0,1.45
60,27.31389,-80.94694,2017.0,1.0,29.0,10.0,15.0,0.0,1.29
61,27.31389,-80.94694,2017.0,1.0,29.0,10.0,16.0,0.0,1.17
62,27.31389,-80.94694,2017.0,1.0,29.0,10.0,17.0,0.0,1.07
